,GameId,Team,Home,Score,AST,TOV,STL,BLK,Rebounds,ORB,DRB,FGA,FGM,X3FGM,X3FGA,FTA,FTM,Fouls,Winner
48,24,Duke Blue Devils,1,91,21,11,8,12,48,14,34,80,31,9,43,27,20,20,
49,25,Florida State Seminoles,0,62,8,12,7,8,38,14,24,58,20,2,22,27,20,31,Pittsburgh Panthers
50,25,Pittsburgh Panthers,1,75,8,12,7,6,34,7,27,46,16,5,17,46,38,19,
51,26,North Carolina State Wolfpack,0,67,10,9,8,4,39,18,21,73,27,6,29,9,7,22,Wake Forest Demon Deacons
52,26,Wake Forest Demon Deacons,1,71,10,11,8,4,41,12,29,52,23,2,11,28,23,14,
53,27,Virginia Tech Hokies,0,59,10,9,6,1,19,6,13,44,19,7,21,17,14,10,Virginia Cavaliers
54,27,Virginia Cavaliers,1,81,18,9,4,2,27,8,19,53,31,13,24,6,6,10,
55,28,Notre Dame Fighting Irish,0,69,13,11,2,8,36,7,29,61,25,10,28,14,9,16,North Carolina Tar Heels
56,28,North Carolina Tar Heels,1,75,15,11,6,2,47,16,31,68,27,9,21,20,12,15,
57,29,Louisville Cardinals,1,80,16,12,6,2,41,12,29,62,29,12,29,14,10,11,Louisville Cardinals
58,29,Boston College Eagles,0,70,14,12,6,3,30,6,24,60,27,7,23,12,9,15,
59,30,Georgia Tech Yellow Jackets,0,60,7,11,6,7,18,2,16,44,21,4,11,21,14,17,Clemson Tigers
60,30,Clemson Tigers,1,72,13,9,5,2,28,7,21,53,27,7,16,14,11,18,
61,31,Virginia Cavaliers,0,70,8,8,4,4,27,6,21,53,28,3,17,17,11,20,Duke Blue Devils
62,31,Duke Blue Devils,1,72,6,8,5,1,30,8,22,51,26,2,14,31,18,18,
63,32,Miami (FL) Hurricanes,1,76,13,11,7,2,23,6,17,55,27,9,21,18,13,15,North Carolina Tar Heels
64,32,North Carolina Tar Heels,0,85,26,15,7,1,36,11,25,60,33,9,20,14,10,19,
65,33,Notre Dame Fighting Irish,1,73,15,9,4,4,37,9,28,59,24,7,28,24,18,18,North Carolina State Wolfpack
66,33,North Carolina State Wolfpack,0,77,15,7,4,3,42,13,29,69,30,7,19,15,10,19,
67,34,Syracuse Orange,1,74,17,14,8,10,30,7,23,54,25,12,26,23,12,14,Syracuse Orange
68,34,Pittsburgh Panthers,0,63,8,16,4,2,39,15,24,65,22,11,35,14,8,23,
69,35,Wake Forest Demon Deacons,0,71,8,14,3,0,30,12,18,48,18,8,24,38,27,18,Virginia Tech Hokies
70,35,Virginia Tech Hokies,1,87,15,11,8,4,22,4,18,51,29,11,26,22,18,24,
71,36,Louisville Cardinals,0,79,21,11,5,2,41,9,32,66,31,7,24,14,10,22,Louisville Cardinals
