,GameId,HomeTeam,AwayTeam,Home_Score,Away_Score,WTeamID,WScore,LTeamID,LScore,Wloc
128,8,Virginia Cavaliers,Florida State Seminoles,65,52,Virginia Cavaliers,65,Florida State Seminoles,52,H
129,80,North Carolina Tar Heels,Virginia Cavaliers,61,69,Virginia Cavaliers,69,North Carolina Tar Heels,61,A
130,81,Boston College Eagles,Pittsburgh Panthers,66,57,Boston College Eagles,66,Pittsburgh Panthers,57,H
131,82,Louisville Cardinals,Duke Blue Devils,69,71,Duke Blue Devils,71,Louisville Cardinals,69,A
132,83,Miami (FL) Hurricanes,Clemson Tigers,65,64,Miami (FL) Hurricanes,65,Clemson Tigers,64,H
133,84,Florida State Seminoles,Wake Forest Demon Deacons,88,66,Florida State Seminoles,88,Wake Forest Demon Deacons,66,H
134,85,North Carolina State Wolfpack,Syracuse Orange,73,58,North Carolina State Wolfpack,73,Syracuse Orange,58,H
135,86,Virginia Tech Hokies,Georgia Tech Yellow Jackets,76,68,Virginia Tech Hokies,76,Georgia Tech Yellow Jackets,68,H
136,87,Duke Blue Devils,North Carolina State Wolfpack,94,78,Duke Blue Devils,94,North Carolina State Wolfpack,78,H
137,88,Wake Forest Demon Deacons,North Carolina Tar Heels,57,95,North Carolina Tar Heels,95,Wake Forest Demon Deacons,57,A
138,89,Louisville Cardinals,Clemson Tigers,56,55,Louisville Cardinals,56,Clemson Tigers,55,H
139,9,Louisville Cardinals,Miami (FL) Hurricanes,90,73,Louisville Cardinals,90,Miami (FL) Hurricanes,73,H
140,90,Virginia Cavaliers,Notre Dame Fighting Irish,60,54,Virginia Cavaliers,60,Notre Dame Fighting Irish,54,H
141,91,Georgia Tech Yellow Jackets,Florida State Seminoles,47,69,Florida State Seminoles,69,Georgia Tech Yellow Jackets,47,A
142,92,Pittsburgh Panthers,Virginia Tech Hokies,64,70,Virginia Tech Hokies,70,Pittsburgh Panthers,64,A
143,93,Boston College Eagles,Miami (FL) Hurricanes,64,57,Boston College Eagles,64,Miami (FL) Hurricanes,57,H
144,94,Virginia Tech Hokies,Virginia Cavaliers,58,64,Virginia Cavaliers,64,Virginia Tech Hokies,58,A
145,95,Notre Dame Fighting Irish,Wake Forest Demon Deacons,68,75,Wake Forest Demon Deacons,75,Notre Dame Fighting Irish,68,A
146,96,Clemson Tigers,Florida State Seminoles,64,77,Florida State Seminoles,77,Clemson Tigers,64,A
147,97,North Carolina State Wolfpack,Boston College Eagles,89,80,North Carolina State Wolfpack,89,Boston College Eagles,80,H
148,98,Syracuse Orange,Louisville Cardinals,69,49,Syracuse Orange,69,Louisville Cardinals,49,H
149,99,Duke Blue Devils,North Carolina Tar Heels,72,88,North Carolina Tar Heels,88,Duke Blue Devils,72,A
