date,price,btc_pc,abs_btc_pc
4/20/18,8839.501132,0.068480123,0.068480123
4/21/18,8863.540829,0.002719576,0.002719576
4/22/18,8800.959087,-0.00706058,0.00706058
4/23/18,8930.784634,0.014751295,0.014751295
4/24/18,9652.213789,0.080780042,0.080780042
4/25/18,8855.508937,-0.082541153,0.082541153
4/26/18,9264.727427,0.046210612,0.046210612
4/27/18,8981.33079,-0.030588772,0.030588772
4/28/18,9341.824685,0.040138138,0.040138138
4/29/18,9396.99763,0.005906014,0.005906014
4/30/18,9228.726484,-0.017906905,0.017906905
5/1/18,9072.168757,-0.016964174,0.016964174
5/2/18,9204.127641,0.014545462,0.014545462
5/3/18,9750.700146,0.059383412,0.059383412
5/4/18,9696.64291,-0.005543934,0.005543934
5/5/18,9795.925772,0.01023889,0.01023889
5/6/18,9595.086819,-0.020502294,0.020502294
5/7/18,9339.510847,-0.026636129,0.026636129
5/8/18,9212.369635,-0.013613262,0.013613262
5/9/18,9293.042274,0.008756991,0.008756991
5/10/18,9037.530509,-0.027494953,0.027494953
5/11/18,8419.758587,-0.068356275,0.068356275
5/12/18,8485.775267,0.007840686,0.007840686
5/13/18,8695.833094,0.024754111,0.024754111
5/14/18,8671.074175,-0.002847216,0.002847216
5/15/18,8488.463421,-0.021059761,0.021059761
5/16/18,8327.756201,-0.018932428,0.018932428
5/17/18,8050.516239,-0.033291076,0.033291076
5/18/18,8233.086455,0.022678076,0.022678076
5/19/18,8229.482936,-0.000437688,0.000437688
5/20/18,8511.44883,0.034262893,0.034262893
5/21/18,8398.623127,-0.013255758,0.013255758
5/22/18,8007.526532,-0.046566751,0.046566751
5/23/18,7520.867679,-0.060775178,0.060775178
5/24/18,7575.624486,0.00728065,0.00728065
5/25/18,7425.375674,-0.019833192,0.019833192
5/26/18,7326.303186,-0.013342421,0.013342421
5/27/18,7338.193044,0.0016229,0.0016229
5/28/18,7110.823882,-0.030984353,0.030984353
5/29/18,7453.633725,0.048209581,0.048209581
5/30/18,7374.669049,-0.010594118,0.010594118
5/31/18,7478.741867,0.014112202,0.014112202
6/1/18,7519.835737,0.005494757,0.005494757
6/2/18,7637.448253,0.015640304,0.015640304
6/3/18,7702.157933,0.008472683,0.008472683
6/4/18,7486.6532,-0.027979786,0.027979786
6/5/18,7611.149853,0.016629147,0.016629147
6/6/18,7650.775807,0.005206303,0.005206303
6/7/18,7665.947896,0.001983079,0.001983079
6/8/18,7622.60233,-0.0056543,0.0056543
6/9/18,7556.171698,-0.008714954,0.008714954
6/10/18,6744.735801,-0.10738717,0.10738717
6/11/18,6849.452687,0.015525721,0.015525721
6/12/18,6526.69968,-0.047120992,0.047120992
6/13/18,6306.513168,-0.033736271,0.033736271
6/14/18,6629.770124,0.051257636,0.051257636
6/15/18,6399.674046,-0.034706494,0.034706494
6/16/18,6495.315309,0.014944708,0.014944708
6/17/18,6450.693973,-0.006869772,0.006869772
6/18/18,6703.81259,0.039238975,0.039238975
6/19/18,6732.508809,0.004280582,0.004280582
6/20/18,6753.206826,0.003074339,0.003074339
6/21/18,6720.373234,-0.004861926,0.004861926
6/22/18,6059.575859,-0.098327482,0.098327482
6/23/18,6174.225779,0.018920453,0.018920453
6/24/18,6146.487195,-0.004492642,0.004492642
6/25/18,6243.535441,0.015789221,0.015789221
6/26/18,6096.128766,-0.023609488,0.023609488
6/27/18,6139.189683,0.00706365,0.00706365
6/28/18,5858.635778,-0.045698849,0.045698849
6/29/18,6220.913715,0.061836569,0.061836569
6/30/18,6375.541231,0.024856078,0.024856078
7/1/18,6361.402539,-0.002217646,0.002217646
7/2/18,6608.367157,0.038822354,0.038822354
7/3/18,6498.307859,-0.016654537,0.016654537
7/4/18,6579.333376,0.01246871,0.01246871
7/5/18,6535.298403,-0.006692923,0.006692923
7/6/18,6598.459096,0.009664546,0.009664546
7/7/18,6737.85608,0.021125687,0.021125687
7/8/18,6704.91998,-0.004888217,0.004888217
7/9/18,6664.024094,-0.006099385,0.006099385
7/10/18,6309.084004,-0.053262126,0.053262126
7/11/18,6377.976511,0.010919574,0.010919574
7/12/18,6159.466676,-0.034260056,0.034260056
7/13/18,6208.985572,0.008039478,0.008039478
7/14/18,6255.112479,0.007429057,0.007429057
7/15/18,6347.604274,0.014786592,0.014786592
7/16/18,6710.807437,0.057218936,0.057218936
7/17/18,7320.594828,0.090866471,0.090866471
7/18/18,7376.038339,0.007573635,0.007573635
7/19/18,7467.034298,0.012336698,0.012336698
7/20/18,7327.256683,-0.018719295,0.018719295
7/21/18,7410.56562,0.011369731,0.011369731
7/22/18,7399.483747,-0.001495415,0.001495415
7/23/18,7716.158627,0.042796888,0.042796888
7/24/18,8397.616522,0.088315693,0.088315693
7/25/18,8202.720395,-0.023208505,0.023208505
7/26/18,7913.930778,-0.035206566,0.035206566
7/27/18,8173.774611,0.032833726,0.032833726
7/28/18,8190.360057,0.002029105,0.002029105
7/29/18,8229.605839,0.004791704,0.004791704
7/30/18,8171.839519,-0.00701933,0.00701933
7/31/18,7725.133036,-0.054664128,0.054664128
8/1/18,7596.698012,-0.016625607,0.016625607
8/2/18,7542.694662,-0.007108793,0.007108793
8/3/18,7411.34425,-0.017414255,0.017414255
8/4/18,7002.208653,-0.055203966,0.055203966
8/5/18,7031.587751,0.00419569,0.00419569
8/6/18,6929.990894,-0.014448637,0.014448637
8/7/18,6722.578433,-0.029929687,0.029929687
8/8/18,6267.388674,-0.067710591,0.067710591
8/9/18,6558.096908,0.046384268,0.046384268
8/10/18,6135.751859,-0.06440055,0.06440055
8/11/18,6313.749312,0.029009885,0.029009885
8/12/18,6314.691656,0.000149253,0.000149253
8/13/18,6265.848044,-0.007734916,0.007734916
8/14/18,6184.829086,-0.012930246,0.012930246
8/15/18,6270.214799,0.013805671,0.013805671
8/16/18,6290.750455,0.003275112,0.003275112
8/17/18,6563.078289,0.043290198,0.043290198
8/18/18,6399.287447,-0.024956405,0.024956405
8/19/18,6490.716127,0.014287322,0.014287322
8/20/18,6272.952729,-0.03354998,0.03354998
8/21/18,6473.076039,0.03190257,0.03190257
8/22/18,6365.009832,-0.016694722,0.016694722
8/23/18,6516.409025,0.023786168,0.023786168
8/24/18,6697.731879,0.027825579,0.027825579
8/25/18,6745.438939,0.007122868,0.007122868
8/26/18,6689.869333,-0.008238101,0.008238101
8/27/18,6839.158952,0.022315775,0.022315775
8/28/18,7092.973808,0.037111998,0.037111998
8/29/18,7033.428068,-0.008395032,0.008395032
8/30/18,6966.963744,-0.009449777,0.009449777
8/31/18,7025.14078,0.008350415,0.008350415
9/1/18,7192.352547,0.02380191,0.02380191
9/2/18,7286.667791,0.013113268,0.013113268
9/3/18,7257.470214,-0.004006986,0.004006986
9/4/18,7358.811479,0.013963718,0.013963718
9/5/18,6790.897328,-0.077174711,0.077174711
9/6/18,6488.075937,-0.04459225,0.04459225
9/7/18,6408.653622,-0.012241274,0.012241274
9/8/18,6187.790502,-0.034463264,0.034463264
9/9/18,6249.24631,0.009931786,0.009931786
9/10/18,6295.388603,0.007383657,0.007383657
9/11/18,6278.42464,-0.002694665,0.002694665
9/12/18,6327.536363,0.0078223,0.0078223
9/13/18,6490.912316,0.025819836,0.025819836
9/14/18,6494.695479,0.00058284,0.00058284
9/15/18,6524.165667,0.004537578,0.004537578
9/16/18,6497.404701,-0.004101822,0.004101822
9/17/18,6258.594875,-0.036754649,0.036754649
9/18/18,6340.34779,0.013062503,0.013062503
9/19/18,6383.951876,0.006877239,0.006877239
9/20/18,6498.607111,0.017959915,0.017959915
9/21/18,6741.142899,0.037321196,0.037321196
9/22/18,6705.476051,-0.00529092,0.00529092
9/23/18,6703.13685,-0.000348849,0.000348849
9/24/18,6576.545003,-0.018885463,0.018885463
9/25/18,6416.444022,-0.024344239,0.024344239
9/26/18,6463.250404,0.007294754,0.007294754
9/27/18,6677.900489,0.033210857,0.033210857
9/28/18,6623.12616,-0.008202328,0.008202328
9/29/18,6584.499148,-0.005832142,0.005832142
9/30/18,6604.485028,0.003035292,0.003035292
10/1/18,6561.813832,-0.006460942,0.006460942
10/2/18,6508.720939,-0.008091192,0.008091192
10/3/18,6464.456844,-0.006800736,0.006800736
10/4/18,6545.285668,0.012503575,0.012503575
10/5/18,6585.14958,0.006090477,0.006090477
10/6/18,6550.478316,-0.005265069,0.005265069
10/7/18,6564.56826,0.002150979,0.002150979
10/8/18,6604.685274,0.006111143,0.006111143
10/9/18,6590.428622,-0.002158566,0.002158566
10/10/18,6529.102436,-0.009305341,0.009305341
10/11/18,6159.251643,-0.056646499,0.056646499
10/12/18,6191.677223,0.005264533,0.005264533
10/13/18,6197.685696,0.000970411,0.000970411
10/14/18,6182.879344,-0.002389013,0.002389013
10/15/18,6442.715414,0.042025091,0.042025091
10/16/18,6461.937159,0.002983485,0.002983485
10/17/18,6442.7307,-0.002972245,0.002972245
10/18/18,6396.479812,-0.007178771,0.007178771
10/19/18,6383.07784,-0.002095211,0.002095211
10/20/18,6408.252746,0.003944007,0.003944007
10/21/18,6415.340503,0.001106036,0.001106036
10/22/18,6408.033636,-0.001138968,0.001138968
10/23/18,6395.987667,-0.001879823,0.001879823
10/24/18,6413.803641,0.002785492,0.002785492
10/25/18,6402.324859,-0.0017897,0.0017897
10/26/18,6404.108552,0.000278601,0.000278601
10/27/18,6409.405328,0.00082709,0.00082709
10/28/18,6406.633253,-0.000432501,0.000432501
10/29/18,6263.041735,-0.022412945,0.022412945
10/30/18,6272.167728,0.001457118,0.001457118
10/31/18,6306.316931,0.005444562,0.005444562
11/1/18,6342.977501,0.005813309,0.005813309
11/2/18,6348.168583,0.000818398,0.000818398
11/3/18,6332.434133,-0.002478581,0.002478581
11/4/18,6420.422,0.013894794,0.013894794
11/5/18,6402.946839,-0.002721809,0.002721809
11/6/18,6441.145219,0.00596575,0.00596575
11/7/18,6500.869805,0.009272355,0.009272355
11/8/18,6406.752937,-0.014477581,0.014477581
11/9/18,6331.378767,-0.011764801,0.011764801
11/10/18,6353.112734,0.003432738,0.003432738
11/11/18,6335.414204,-0.002785805,0.002785805
11/12/18,6320.656054,-0.002329469,0.002329469
11/13/18,6267.937991,-0.0083406,0.0083406
11/14/18,5574.258349,-0.110671108,0.110671108
11/15/18,5538.560608,-0.006404034,0.006404034
11/16/18,5496.016231,-0.007681486,0.007681486
11/17/18,5501.09234,0.000923598,0.000923598
11/18/18,5555.376338,0.009867858,0.009867858
11/19/18,4792.200024,-0.137376168,0.137376168
11/20/18,4317.53067,-0.099050405,0.099050405
11/21/18,4549.32201,0.05368609,0.05368609
11/22/18,4303.615549,-0.054009468,0.054009468
11/23/18,4289.892853,-0.003188643,0.003188643
11/24/18,3806.316925,-0.112724477,0.112724477
11/25/18,3946.850874,0.036921242,0.036921242
11/26/18,3700.285993,-0.062471294,0.062471294
11/27/18,3776.555905,0.020611897,0.020611897
11/28/18,4208.475269,0.114368587,0.114368587
11/29/18,4239.039488,0.00726254,0.00726254
11/30/18,3973.334052,-0.062680576,0.062680576
12/1/18,4148.073726,0.043978098,0.043978098
12/2/18,4098.746764,-0.011891534,0.011891534
12/3/18,3843.976666,-0.062158048,0.062158048
12/4/18,3892.951647,0.012740707,0.012740707
12/5/18,3709.520858,-0.047118692,0.047118692
12/6/18,3511.968982,-0.053255362,0.053255362
12/7/18,3372.995693,-0.039571332,0.039571332
12/8/18,3407.951195,0.01036334,0.01036334
12/9/18,3540.439576,0.038876255,0.038876255
12/10/18,3413.592584,-0.035828035,0.035828035
12/11/18,3352.5642,-0.017878051,0.017878051
12/12/18,3423.012918,0.021013384,0.021013384
12/13/18,3260.341582,-0.047522852,0.047522852
12/14/18,3198.947474,-0.018830576,0.018830576
12/15/18,3185.074044,-0.004336873,0.004336873
12/16/18,3195.414555,0.003246553,0.003246553
12/17/18,3499.156482,0.095055562,0.095055562
12/18/18,3659.527379,0.045831302,0.045831302
