Date,Price,Pct_Change,Abs_Pct_Change
2/3/12,5.951610928,-0.024257762,0.024257762
2/4/12,5.895413239,-0.009442433,0.009442433
2/5/12,5.678115717,-0.036858743,0.036858743
2/6/12,5.482664058,-0.034421922,0.034421922
2/7/12,5.6620277,0.032714688,0.032714688
2/8/12,5.61852819,-0.007682674,0.007682674
2/9/12,5.835699854,0.038652768,0.038652768
2/10/12,5.937834155,0.017501637,0.017501637
2/11/12,5.612132853,-0.054851869,0.054851869
2/12/12,5.519097169,-0.016577598,0.016577598
2/13/12,5.348354559,-0.030936692,0.030936692
2/14/12,4.483654092,-0.161675981,0.161675981
2/15/12,4.325520322,-0.035268949,0.035268949
2/16/12,4.255239045,-0.016248052,0.016248052
2/17/12,4.391538373,0.032030945,0.032030945
2/18/12,4.270081278,-0.027657073,0.027657073
2/19/12,4.389551458,0.027978432,0.027978432
2/20/12,4.365135939,-0.00556219,0.00556219
2/21/12,4.315115602,-0.011459056,0.011459056
2/22/12,4.419310288,0.024146441,0.024146441
2/23/12,5.039515118,0.140339734,0.140339734
2/24/12,5.025608759,-0.002759464,0.002759464
2/25/12,4.772567381,-0.050350393,0.050350393
2/26/12,4.926420852,0.032237045,0.032237045
2/27/12,4.952515756,0.00529693,0.00529693
2/28/12,4.857257776,-0.019234261,0.019234261
2/29/12,4.872748756,0.003189244,0.003189244
3/1/12,4.922072124,0.010122288,0.010122288
3/2/12,4.714823587,-0.042105953,0.042105953
3/3/12,4.628193252,-0.018374035,0.018374035
3/4/12,4.834144482,0.044499272,0.044499272
3/5/12,4.982392904,0.030666941,0.030666941
3/6/12,4.987841352,0.001093541,0.001093541
3/7/12,4.949112885,-0.007764575,0.007764575
3/8/12,4.934979495,-0.002855742,0.002855742
3/9/12,4.872297847,-0.012701501,0.012701501
3/10/12,4.841423805,-0.006336649,0.006336649
3/11/12,4.892028752,0.010452493,0.010452493
3/12/12,4.910839379,0.003845159,0.003845159
3/13/12,5.290880279,0.077388175,0.077388175
3/14/12,5.390543292,0.018836755,0.018836755
3/15/12,5.340820899,-0.009224004,0.009224004
3/16/12,5.339574791,-0.000233318,0.000233318
3/17/12,5.236003554,-0.019396907,0.019396907
3/18/12,5.270148985,0.006521277,0.006521277
3/19/12,4.678672553,-0.112231444,0.112231444
3/20/12,4.830830216,0.032521546,0.032521546
3/21/12,4.817229525,-0.002815394,0.002815394
3/22/12,4.729608505,-0.01818909,0.01818909
3/23/12,4.691643177,-0.008027161,0.008027161
3/24/12,4.651986266,-0.00845267,0.00845267
3/25/12,4.552270262,-0.021435146,0.021435146
3/26/12,4.63272236,0.017672962,0.017672962
3/27/12,4.811340735,0.038555813,0.038555813
3/28/12,4.790589392,-0.004313006,0.004313006
3/29/12,4.794066572,0.000725836,0.000725836
3/30/12,4.861409357,0.014047111,0.014047111
3/31/12,4.889776873,0.005835245,0.005835245
4/1/12,4.793325677,-0.019725071,0.019725071
4/2/12,4.983045479,0.039579994,0.039579994
4/3/12,4.956233193,-0.005380703,0.005380703
4/4/12,4.917842178,-0.007746007,0.007746007
4/5/12,4.920849245,0.000611461,0.000611461
4/6/12,4.949107432,0.005742543,0.005742543
4/7/12,4.70971191,-0.048371454,0.048371454
4/8/12,4.778818849,0.014673284,0.014673284
4/9/12,4.852547381,0.015428191,0.015428191
4/10/12,4.841417594,-0.002293597,0.002293597
4/11/12,4.915250717,0.015250311,0.015250311
4/12/12,4.901158147,-0.002867111,0.002867111
4/13/12,4.934406733,0.006783822,0.006783822
4/14/12,4.956364661,0.004449963,0.004449963
4/15/12,4.961600338,0.001056354,0.001056354
4/16/12,4.950764569,-0.002183926,0.002183926
4/17/12,4.968744508,0.00363175,0.00363175
4/18/12,5.124377443,0.031322386,0.031322386
4/19/12,5.130906511,0.001274119,0.001274119
4/20/12,5.366515968,0.045919655,0.045919655
4/21/12,5.282550339,-0.015646209,0.015646209
4/22/12,5.195608995,-0.016458214,0.016458214
4/23/12,5.110888192,-0.016306231,0.016306231
4/24/12,5.087867262,-0.004504291,0.004504291
4/25/12,5.148816245,0.011979279,0.011979279
4/26/12,5.097419286,-0.009982287,0.009982287
4/27/12,5.09588734,-0.000300534,0.000300534
4/28/12,4.970736653,-0.024559155,0.024559155
4/29/12,4.902606178,-0.013706314,0.013706314
4/30/12,4.94211681,0.008059108,0.008059108
5/1/12,4.987137227,0.009109541,0.009109541
5/2/12,5.053437354,0.013294225,0.013294225
5/3/12,5.118872979,0.012948736,0.012948736
5/4/12,5.085507088,-0.00651821,0.00651821
5/5/12,5.056639565,-0.00567643,0.00567643
5/6/12,5.047800773,-0.001747958,0.001747958
5/7/12,5.067555867,0.003913604,0.003913604
5/8/12,5.023466423,-0.008700337,0.008700337
5/9/12,5.041306236,0.003551295,0.003551295
5/10/12,4.92748872,-0.022576989,0.022576989
5/11/12,4.963709977,0.007350856,0.007350856
5/12/12,4.946532235,-0.003460666,0.003460666
5/13/12,4.944795054,-0.000351192,0.000351192
5/14/12,5.011435922,0.013476973,0.013476973
5/15/12,5.0336404,0.004430762,0.004430762
5/16/12,5.087784509,0.010756451,0.010756451
5/17/12,5.089661686,0.000368958,0.000368958
5/18/12,5.118301483,0.005627053,0.005627053
5/19/12,5.112545811,-0.001124528,0.001124528
5/20/12,5.094200968,-0.003588201,0.003588201
5/21/12,5.09422131,3.99309E-06,3.99309E-06
5/22/12,5.089139189,-0.000997625,0.000997625
5/23/12,5.1288589,0.007804799,0.007804799
5/24/12,5.119157759,-0.001891481,0.001891481
5/25/12,5.137276807,0.003539459,0.003539459
5/26/12,5.103978805,-0.006481644,0.006481644
5/27/12,5.134616135,0.006002637,0.006002637
5/28/12,5.136325419,0.000332894,0.000332894
5/29/12,5.148470698,0.002364585,0.002364585
5/30/12,5.138264569,-0.001982361,0.001982361
5/31/12,5.181639721,0.008441596,0.008441596
6/1/12,5.266943758,0.01646275,0.01646275
6/2/12,5.24363906,-0.00442471,0.00442471
6/3/12,5.212704985,-0.005899353,0.005899353
6/4/12,5.258765857,0.008836271,0.008836271
6/5/12,5.426014295,0.031803743,0.031803743
6/6/12,5.446169422,0.003714536,0.003714536
6/7/12,5.58716981,0.025889828,0.025889828
6/8/12,5.622529102,0.006328659,0.006328659
6/9/12,5.557002335,-0.011654322,0.011654322
6/10/12,5.457893569,-0.017834933,0.017834933
6/11/12,5.586996982,0.023654439,0.023654439
6/12/12,5.727491299,0.025146661,0.025146661
6/13/12,5.909301324,0.031743396,0.031743396
6/14/12,5.962023182,0.008921843,0.008921843
6/15/12,6.523380719,0.094155544,0.094155544
6/16/12,6.444158282,-0.012144383,0.012144383
6/17/12,6.199966488,-0.037893513,0.037893513
6/18/12,6.310844669,0.017883674,0.017883674
6/19/12,6.494826716,0.029153316,0.029153316
6/20/12,6.693551056,0.030597327,0.030597327
6/21/12,6.672262504,-0.003180457,0.003180457
6/22/12,6.563761698,-0.016261471,0.016261471
6/23/12,6.447541689,-0.017706311,0.017706311
6/24/12,6.350494039,-0.015051884,0.015051884
6/25/12,6.31747363,-0.00519966,0.00519966
6/26/12,6.432860829,0.018264769,0.018264769
6/27/12,6.615713402,0.028424767,0.028424767
6/28/12,6.590064633,-0.003876947,0.003876947
6/29/12,6.658776757,0.010426624,0.010426624
6/30/12,6.680427623,0.003251478,0.003251478
7/1/12,6.626860092,-0.008018578,0.008018578
7/2/12,6.743478051,0.01759777,0.01759777
7/3/12,6.449992403,-0.043521406,0.043521406
7/4/12,6.514835333,0.010053179,0.010053179
7/5/12,6.642398604,0.019580429,0.019580429
7/6/12,6.672181189,0.004483709,0.004483709
7/7/12,6.808273712,0.020397006,0.020397006
7/8/12,6.796317688,-0.001756102,0.001756102
7/9/12,7.032395886,0.034736192,0.034736192
7/10/12,7.178580036,0.020787247,0.020787247
7/11/12,7.185147789,0.00091491,0.00091491
7/12/12,7.55593565,0.051604765,0.051604765
7/13/12,7.630921256,0.009924066,0.009924066
7/14/12,7.580129178,-0.006656087,0.006656087
7/15/12,7.62723486,0.006214364,0.006214364
7/16/12,8.493405677,0.113562888,0.113562888
7/17/12,8.751984855,0.030444699,0.030444699
7/18/12,9.095192686,0.039214857,0.039214857
7/19/12,8.879533414,-0.023711347,0.023711347
7/20/12,8.532450679,-0.039087947,0.039087947
7/21/12,8.875645841,0.040222343,0.040222343
7/22/12,8.506562544,-0.041583824,0.041583824
7/23/12,8.531211269,0.002897613,0.002897613
7/24/12,8.574585171,0.005084143,0.005084143
7/25/12,8.769347273,0.02271388,0.02271388
7/26/12,8.875765046,0.012135199,0.012135199
7/27/12,8.891459894,0.001768281,0.001768281
7/28/12,8.842560894,-0.005499547,0.005499547
7/29/12,8.747680659,-0.01072995,0.01072995
7/30/12,9.088317249,0.038940218,0.038940218
7/31/12,9.320998402,0.025602226,0.025602226
8/1/12,9.568020904,0.026501721,0.026501721
8/2/12,10.5510397,0.102740034,0.102740034
8/3/12,10.91586475,0.034577166,0.034577166
8/4/12,10.91971488,0.00035271,0.00035271
8/5/12,10.80511738,-0.010494551,0.010494551
8/6/12,10.8694465,0.005953579,0.005953579
8/7/12,10.94127944,0.006608703,0.006608703
8/8/12,11.0703916,0.011800462,0.011800462
8/9/12,11.10372474,0.003011018,0.003011018
8/10/12,11.4475688,0.030966551,0.030966551
8/11/12,11.54253553,0.008295798,0.008295798
8/12/12,11.59255239,0.004333265,0.004333265
8/13/12,11.98496299,0.033850233,0.033850233
8/14/12,12.18709748,0.016865675,0.016865675
8/15/12,13.17007735,0.080657423,0.080657423
8/16/12,13.45079082,0.021314489,0.021314489
8/17/12,12.07700554,-0.102134164,0.102134164
8/18/12,11.57750716,-0.041359456,0.041359456
8/19/12,7.830621842,-0.323634896,0.323634896
8/20/12,9.979876649,0.274467961,0.274467961
8/21/12,9.902982018,-0.007704968,0.007704968
8/22/12,9.772554579,-0.013170522,0.013170522
8/23/12,10.08865743,0.032345979,0.032345979
8/24/12,10.59404259,0.050094393,0.050094393
8/25/12,10.58367667,-0.000978467,0.000978467
8/26/12,10.54553074,-0.003604223,0.003604223
8/27/12,10.90038008,0.033649263,0.033649263
8/28/12,10.93295853,0.002988745,0.002988745
8/29/12,10.8677839,-0.005961299,0.005961299
8/30/12,10.72774884,-0.012885337,0.012885337
8/31/12,10.10240982,-0.058291728,0.058291728
9/1/12,10.00653294,-0.009490496,0.009490496
9/2/12,10.2261162,0.021943991,0.021943991
9/3/12,10.49713431,0.026502545,0.026502545
9/4/12,10.36400189,-0.012682739,0.012682739
9/5/12,11.02552288,0.063828721,0.063828721
9/6/12,11.16076902,0.012266642,0.012266642
9/7/12,11.07612234,-0.007584305,0.007584305
9/8/12,11.04327003,-0.002966047,0.002966047
9/9/12,11.06209549,0.0017047,0.0017047
9/10/12,11.1252888,0.005712599,0.005712599
9/11/12,11.26809296,0.012835995,0.012835995
9/12/12,11.31528591,0.004188193,0.004188193
9/13/12,11.38029929,0.005745624,0.005745624
